"Protein_group","L_A_1","L_F_3","L_A_3","H_F_2","H_E_1","H_D_3","L_E_2","H_C_3","H_C_1","L_D_1","L_D_2","L_B_2","H_A_1","H_B_1","L_E_1","H_F_3","L_D_2_2","H_E_2","L_B_3","L_C_1","H_E_3","L_E_2_2","L_C_2","H_F_1","L_C_3","L_A_2","H_B_3","H_B_2","L_F_2","H_D_2","H_D_1","H_A_2","H_C_2","L_B_1","H_A_3","L_F_1"
"Montipora_capitata_HIv3___RNAseq.39776_t;Montipora_capitata_HIv3___RNAseq.g37765.t1",1579270,NA,NA,7229140,NA,18987400,6455910,3485670,13648300,14514200,18178000,3338270,NA,1502050,10412500,11474000,77719400,1625340,8284310,NA,NA,5624720,2264480,NA,NA,3451720,1805680,2145260,NA,4592530,6267870,2640630,847039,5654540,NA,9991110
"Montipora_capitata_HIv3___RNAseq.40163_t;Montipora_capitata_HIv3___RNAseq.g38150.t1",661294,535920,870989,929940,1163600,1095410,1175290,1005110,1329480,NA,987154,1500230,1525030,1725150,NA,343126,NA,1471250,437590,1454940,1114550,859357,1868330,798235,1660590,760109,398123,1199050,1463200,1869300,2264130,1219910,1486310,601813,NA,1092820
"Montipora_capitata_HIv3___RNAseq.41112_t",NA,NA,NA,NA,718025,654889,NA,845280,251350,728517,NA,810717,NA,778915,NA,827848,823736,NA,NA,NA,447366,NA,NA,854396,NA,NA,959663,1069530,NA,NA,NA,650467,NA,975265,NA,NA
"Montipora_capitata_HIv3___RNAseq.41132_t",NA,3153540,NA,2047770,NA,943246,2562520,3593650,NA,NA,NA,NA,NA,NA,1811600,1118970,1243890,943851,1869970,NA,NA,2161130,NA,NA,NA,1439130,NA,NA,NA,NA,NA,1590140,NA,NA,NA,953981
"Montipora_capitata_HIv3___RNAseq.41372_t",2591720,898925,2627750,2152250,2734150,2355310,2331410,3126780,2597480,2015560,2454190,3197630,2539270,3199690,1955390,1589260,1005760,2395360,1290220,1190540,2052390,2416940,2217620,2200040,1829640,2241470,2073050,3741280,1626900,3900130,2210890,2822670,2196150,2170110,3507140,1651210
"Montipora_capitata_HIv3___RNAseq.41731_t",1361470,881445,1096220,1689590,895971,2195400,799134,1190740,1617830,874669,NA,1293050,1297710,1658790,NA,976754,1140090,1407570,694036,1351590,1308840,872154,1632710,1302600,1747910,758761,615982,851743,762075,1401920,1176810,1741130,1622680,568613,980048,1786740
"Montipora_capitata_HIv3___RNAseq.41837_t",NA,1794620,NA,879385,NA,NA,520391,625321,NA,340897,NA,NA,NA,438991,699726,NA,866188,NA,NA,NA,NA,494169,NA,NA,NA,NA,192743,293129,NA,NA,NA,521286,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.42070_t",2660450000,1285860000,2044460000,2091410000,1285070000,1250400000,2003180000,1185390000,1287510000,1522280000,1221370000,2127780000,1544840000,1704680000,1718790000,447499000,945699000,1637190000,898120000,1985660000,1045870000,1665320000,1609900000,1182950000,1541200000,1242570000,1149410000,2239070000,2144480000,1810690000,1159770000,1594130000,1493980000,770585000,1125160000,1444880000
"Montipora_capitata_HIv3___RNAseq.42110_t",651506,NA,406075,669166,NA,NA,NA,NA,854696,NA,NA,701158,700630,946036,NA,NA,NA,728987,NA,705004,630355,599571,734987,724476,1112090,NA,NA,442488,1312730,NA,1374760,NA,NA,NA,NA,529579
"Montipora_capitata_HIv3___RNAseq.42142_t",NA,NA,NA,NA,692938,NA,NA,428997,NA,NA,NA,577084,565936,689431,NA,NA,NA,NA,NA,NA,593372,335467,NA,480516,NA,NA,NA,377640,NA,NA,NA,642392,716897,NA,406507,NA
"Montipora_capitata_HIv3___RNAseq.42184_t",1843750,1469220,1563960,1911900,1977550,461993,2296960,2118190,412990,686204,NA,1860990,2744260,3544650,3082300,2199760,944017,2980860,734196,NA,2168740,2092030,2694530,1943210,2826590,1387200,1911200,2533920,NA,NA,NA,2018660,3473670,1950520,2013510,2369510
"Montipora_capitata_HIv3___RNAseq.42329_t",24567800,8185270,8661440,16989800,8830090,17430900,33108400,22170800,31562300,10622500,18117200,23497500,35894800,29217100,16472200,6693040,6157870,30000300,7607030,25699800,28513000,14016300,30508400,21243500,24144500,10809600,12125600,28740100,25025500,NA,61197900,13718300,56794400,7493080,11833700,23549500
"Montipora_capitata_HIv3___RNAseq.42380_t",16280300,15451200,13808400,16818200,8326790,16002200,15560000,16991300,15477600,10743600,7649620,16581200,17416700,16086400,17711500,8136140,7939790,23360800,14443500,20523600,17502200,22982700,22170600,20251100,19716300,18114100,9384870,9808660,25199700,12571000,10356600,17637000,15149800,12126800,16609900,17466100
"Montipora_capitata_HIv3___RNAseq.42580_t",NA,NA,274533,NA,641831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435064,340151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,947105,NA,NA
"Montipora_capitata_HIv3___RNAseq.42845_t",NA,NA,NA,NA,190391,NA,NA,NA,NA,123195,NA,NA,NA,NA,NA,NA,107470,NA,NA,NA,NA,NA,NA,NA,NA,NA,134506,NA,NA,NA,NA,NA,NA,118272,NA,NA
"Montipora_capitata_HIv3___RNAseq.4398_t",2047720,4575610,1464100,3407020,325624,4657550,5066870,NA,4138530,6130720,NA,NA,NA,NA,NA,3499330,NA,NA,NA,NA,NA,4941580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2971260,NA,NA
"Montipora_capitata_HIv3___RNAseq.4417_t",1234910,3978820,844142,782114,NA,3213790,2105410,NA,1399120,3529310,NA,NA,NA,NA,2856470,6258050,6023120,761558,5762110,NA,NA,2687710,NA,NA,NA,2546860,NA,NA,NA,NA,NA,3172860,NA,5580500,NA,1105500
"Montipora_capitata_HIv3___RNAseq.44746_t",NA,NA,NA,NA,NA,261303,219381,NA,NA,110218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.4493_t",1118380,NA,2915170,2136550,1369890,4456340,3561440,2713720,3712700,1670590,NA,1645760,NA,1327040,3312180,1080640,NA,2962500,NA,NA,2772690,2611090,1399200,NA,NA,1554580,NA,1269440,641001,NA,1376160,4058240,1965150,894186,1797780,3360240
"Montipora_capitata_HIv3___RNAseq.44968_t",1834870,NA,2297550,1194310,1654250,744669,1746400,1817910,948741,769923,NA,NA,NA,NA,1629490,NA,NA,1021680,NA,NA,1889930,1875540,1139750,464721,NA,832779,1141020,798582,NA,NA,NA,1917060,1357900,815505,1243880,NA
"Montipora_capitata_HIv3___RNAseq.45205_t",NA,1179260,NA,1420530,1129630,2487840,2240920,2244230,955231,1678780,NA,NA,NA,904661,1506590,1062260,1787380,906853,2066130,NA,NA,NA,NA,NA,NA,1724770,NA,NA,NA,NA,NA,1975270,NA,1872860,1133870,750751
"Montipora_capitata_HIv3___RNAseq.45396_t",1947570,NA,3475110,1584960,1643610,3485670,4127820,2205140,NA,4012220,3522210,4084460,NA,NA,NA,3062190,3365050,NA,2628010,NA,NA,1979090,NA,NA,NA,2470760,2427590,1526310,NA,NA,NA,3177620,NA,3201040,NA,NA
"Montipora_capitata_HIv3___RNAseq.45415_t",4887580,5282330,4801210,5136840,5270500,5086140,5564450,5239380,4722470,5964520,5013900,4016060,2459460,4239330,4150670,4858230,4522500,3601560,5758740,3956530,4008390,4967270,3845770,5049720,4220340,2963320,5505970,3404650,6835330,2420610,5469780,3745900,3226160,4507810,4212390,6161130
"Montipora_capitata_HIv3___RNAseq.45628_t",NA,NA,NA,NA,NA,1878410,1296490,NA,NA,NA,NA,NA,NA,NA,NA,1392250,NA,NA,NA,NA,NA,1213560,NA,NA,NA,NA,NA,NA,NA,NA,NA,1614160,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.46643_t;Montipora_capitata_HIv3___RNAseq.g36314.t1",827296,679154,1485990,1675790,291238,535808,914201,563369,NA,206180,NA,1333560,542563,484235,341675,1560170,NA,713016,1434830,1395670,1336580,969150,388254,1367560,384569,2203270,170027,353308,1271050,NA,1127070,2337780,1169170,229051,1146960,952805
"Montipora_capitata_HIv3___RNAseq.47221_tb",36402900,24667800,28313400,19758400,17394500,9892090,25269900,14331800,16682200,12941600,11718800,54117400,35470900,23267900,19785100,4066490,7617920,33677900,8790240,28453700,22769700,24950800,42169600,24033300,39697700,35041100,18206100,34050700,86234800,25727200,26775200,32627300,32725100,4944750,29773500,32140000
"Montipora_capitata_HIv3___RNAseq.47221_tc",347558000,147766000,190977000,231445000,111307000,144188000,79496100,NA,46226200,NA,279319000,159958000,NA,17137700,18533800,NA,NA,172507000,NA,NA,7025030,64271200,154256000,96612900,72333300,57613600,61878700,15751500,69107200,NA,112454000,20832900,78663900,34791800,49536500,145210000
"Montipora_capitata_HIv3___RNAseq.47337_t",798288,NA,NA,504123,622701,1073910,NA,851982,1032830,643536,NA,664826,NA,NA,NA,636152,696490,744466,NA,NA,NA,1005590,1019460,NA,NA,NA,527788,602980,NA,NA,863907,789164,806627,519953,871095,784506
"Montipora_capitata_HIv3___RNAseq.47346_t",1007990,402526,662935,794953,610232,620461,NA,NA,1147900,NA,NA,968017,1764800,1431510,909856,NA,NA,1318620,NA,1250270,1195530,516277,1952870,673049,2030820,483684,510822,897966,1289830,1461420,1356960,804760,1223600,NA,883584,1062240
"Montipora_capitata_HIv3___RNAseq.5043_t",4593080,7244470,9226070,4537110,6664360,3135900,9861380,3882750,3411140,3597370,14979200,11615100,5274370,5491660,4782550,3586670,2792040,5991160,5027700,4129900,5293500,5721870,7016670,10497500,4633340,8585730,5487600,5142980,12946600,4847270,NA,5275190,3464450,5491400,6258340,6859440
"Montipora_capitata_HIv3___RNAseq.51211_t;Montipora_capitata_HIv3___RNAseq.g29441.t1",2998460,NA,NA,503552,NA,NA,NA,NA,2041040,NA,NA,1359130,1007550,1742510,NA,NA,NA,505451,NA,2410220,1663670,484869,3445640,NA,2332860,NA,1538510,2532440,2626230,701232,1361750,NA,1974630,NA,809587,1193960
"Montipora_capitata_HIv3___RNAseq.51449_t;Montipora_capitata_HIv3___RNAseq.g14643.t1;Montipora_capitata_HIv3___RNAseq.g190.t1",NA,786365,NA,1219050,1481390,3092210,1148150,2082600,1422080,3055360,2229330,1236420,NA,NA,920520,2952150,5120340,809722,2371500,NA,NA,1100750,NA,1383020,NA,NA,1185830,NA,NA,1183060,NA,NA,NA,2384500,NA,1445290
"Montipora_capitata_HIv3___RNAseq.53422_t;Montipora_capitata_HIv3___RNAseq.g11877.t1;Montipora_capitata_HIv3___RNAseq.g11881.t1;Montipora_capitata_HIv3___RNAseq.g11883.t1",52869100,89635300,74239000,48968200,41398100,37095400,40381600,NA,NA,NA,54879800,128113000,NA,1825310,2760750,NA,NA,NA,NA,NA,NA,NA,5260220,NA,NA,NA,NA,NA,5235660,NA,18439100,NA,NA,NA,11908400,11111700
"Montipora_capitata_HIv3___RNAseq.5960_t;Montipora_capitata_HIv3___RNAseq.g11268.t1",1227500,NA,3677130,4607150,4005810,2945220,3315900,2496140,1058940,3967950,3279860,4105480,NA,1809610,2600620,1708870,2932480,1267840,1782170,841604,792488,1793150,739204,3469020,NA,1171410,6056810,4221560,1629010,1672410,724115,1581660,1034180,3778320,1182690,1293920
"Montipora_capitata_HIv3___RNAseq.6258_t",3134970,1578280,1564490,2604400,1439930,3095750,1697300,2945000,3238050,1892120,NA,1788100,2636380,2665840,2245610,1630570,1774350,2365150,1909730,1809730,2515500,2206820,2689560,2279220,1517360,1289600,1716990,1941330,2407680,2267600,1811310,2388770,2540570,1582100,2314350,2248810
"Montipora_capitata_HIv3___RNAseq.6945_t",2777660,2120160,2474790,2529440,1849780,2148690,1420830,2665510,1664790,2361000,1107730,2345890,1471530,2512620,NA,1831750,1590060,NA,2348800,1475030,1512710,1885460,1915830,2501790,963755,2480930,2002120,2468370,1405870,1587960,811630,3010820,1006320,1682670,2768100,1025150
"Montipora_capitata_HIv3___RNAseq.711_t",683147,1819150,1482660,2409470,1022680,1427580,4718500,2035690,513966,1734570,2453260,2723760,376761,NA,1588100,1470210,1993520,936458,2510250,NA,NA,2108970,NA,1806690,NA,1969250,858877,825404,794564,NA,NA,1892360,NA,1295930,1062130,2766710
"Montipora_capitata_HIv3___RNAseq.730_t",1686330,NA,496289,867944,505677,NA,696466,916367,NA,NA,NA,697324,991228,954373,869118,NA,NA,787423,649511,1905400,625581,979543,355176,1007300,925518,NA,516667,687111,1428870,NA,NA,1014650,1504020,334637,NA,NA
"Montipora_capitata_HIv3___RNAseq.7417_t",287431,NA,NA,305722,256279,NA,232097,NA,226223,462757,NA,296307,NA,NA,363169,303698,374074,NA,NA,NA,NA,253649,NA,194514,NA,294170,310606,227365,NA,NA,NA,NA,NA,346409,NA,NA
"Montipora_capitata_HIv3___RNAseq.7433_t",NA,NA,749136,452739,954827,NA,436735,1701480,782144,959396,NA,1130010,NA,NA,NA,NA,823745,962859,422798,NA,1317250,NA,774187,940438,NA,1021810,462247,1515540,1074420,890104,806685,947177,1288060,817034,1019830,NA
"Montipora_capitata_HIv3___RNAseq.7529_t",NA,NA,NA,298935,NA,NA,149582,NA,NA,NA,NA,NA,NA,NA,NA,278730,NA,NA,307848,NA,NA,NA,NA,254440,NA,210586,206446,NA,NA,NA,NA,NA,NA,329671,NA,NA
"Montipora_capitata_HIv3___RNAseq.7881_t;Montipora_capitata_HIv3___RNAseq.7882_t",NA,1287590,637450,1566210,NA,3418590,3253280,1114440,1249380,1005460,NA,NA,NA,NA,NA,1635640,801113,NA,2835680,NA,NA,2945460,NA,NA,NA,1238860,NA,NA,NA,NA,NA,2004790,NA,1126820,NA,NA
"Montipora_capitata_HIv3___RNAseq.8106_t",NA,NA,NA,NA,328809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1037630,1202860,NA,NA,NA,NA,NA,NA,NA,NA,NA,798088,NA,NA,NA,NA,NA,NA,1286050,NA,NA
"Montipora_capitata_HIv3___RNAseq.9559_t",3173160,737330,1291970,1782380,1219270,1265170,1532550,1614470,1865630,684369,NA,1348840,818614,1337400,1757870,1543550,NA,1553420,NA,NA,2369710,1917620,2750630,1277370,934232,1310540,1294290,1323380,1651830,843795,NA,1831110,1719310,914648,1002500,NA
"Montipora_capitata_HIv3___RNAseq.97_t",31246400,32180200,19934900,12048900,19117700,9995910,19048100,12601200,8171040,32564500,21214000,15999500,6293370,6674160,24387500,17633000,17949500,6786220,22295900,6308620,8061040,17899500,7293400,13815600,10741400,22898300,17887400,14528100,12892600,7550280,2662100,11209600,9927790,12708700,38395800,20343200
"Montipora_capitata_HIv3___RNAseq.g10165.t1",5839390,3652170,2937510,4368720,2841680,6589860,5285720,5126090,5142440,3491820,2554240,2752890,3739120,3418820,6094080,2531330,3656660,4817950,3375640,3094730,5196600,5959520,5938760,2560450,4465650,4051500,2445570,2695380,3719170,3009690,2770310,4838970,4327600,3262080,3755120,4415550
"Montipora_capitata_HIv3___RNAseq.g1017.t1",34439800,65576200,44025900,39723000,32510700,40965100,58129000,27262500,17326500,45114200,27732000,49447000,15139500,27288200,63602400,36383700,33139400,23731700,60544300,27900000,28867100,58920800,26221600,42191700,23031300,39861400,37296900,45222500,18746400,23923600,18568300,42478200,22606700,38297500,34426400,26245400
"Montipora_capitata_HIv3___RNAseq.g10173.t1;Montipora_capitata_HIv3___RNAseq.g10176.t1;Montipora_capitata_HIv3___RNAseq.g27529.t1;Montipora_capitata_HIv3___RNAseq.g8568.t1",NA,NA,NA,833656,NA,651675,614892,569045,NA,460013,NA,838206,535031,551273,NA,NA,NA,606883,NA,476301,NA,429086,NA,495198,NA,382418,NA,616641,1639350,NA,NA,633795,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g10175.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,596793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g10178.t1",745697,8119880,NA,1432010,932500,989262,1961760,NA,NA,NA,NA,1871340,NA,NA,2780740,3709290,2098600,NA,2610610,NA,NA,743414,NA,818638,NA,NA,1484140,782482,936322,NA,NA,NA,NA,1461200,NA,NA
"Montipora_capitata_HIv3___RNAseq.g1021.t1",1252490,717475,817694,1232100,806182,1177950,950247,1184760,854935,1039320,741498,1491000,1168580,1492630,1105340,524782,884129,1126440,677777,1094680,1262070,1086410,1427990,1125160,1350290,872551,836691,1374340,1208590,1144810,1141640,1189050,1226230,731186,1221290,1376520
"Montipora_capitata_HIv3___RNAseq.g10237.t1",13301200,15477300,32546100,22568200,24163300,NA,6861020,3643720,NA,NA,NA,4330480,NA,1622210,5731640,28599700,NA,NA,NA,NA,2151130,12876000,NA,NA,NA,NA,3014730,6990590,NA,NA,NA,8345820,NA,13790900,NA,NA
"Montipora_capitata_HIv3___RNAseq.g10261.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,372926,NA,NA,NA,NA,NA,5896650,2031670,NA,4327780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4839340,NA,NA
"Montipora_capitata_HIv3___RNAseq.g10285.t1;Montipora_capitata_HIv3___RNAseq.g50451.t1;Montipora_capitata_HIv3___TS.g43109.t1",NA,NA,NA,595096,420411,376382,NA,NA,NA,438268,NA,NA,NA,NA,NA,692953,629543,NA,282690,NA,NA,NA,NA,NA,NA,NA,327315,NA,NA,NA,NA,NA,NA,612053,NA,NA
"Montipora_capitata_HIv3___RNAseq.g10314.t1",964730,1792640,1264050,1077330,1043680,978025,1637530,1313920,536367,1320980,1648830,1417450,NA,926304,1382080,1493140,1543400,478362,1254200,NA,837039,1286250,511507,1183130,656291,1494220,1905070,1861310,568557,1321950,NA,702325,765008,1520940,1435610,988708
"Montipora_capitata_HIv3___RNAseq.g10322.t1",636278,1591710,1962840,1583100,2536290,1660810,1526300,2833110,694542,2283000,798462,1337070,NA,1675720,1448610,2204620,1344800,1140320,2749940,NA,1834410,2019770,NA,3460380,NA,1792110,1692150,1803940,NA,1685750,NA,1507560,1069080,2931970,1470230,NA
"Montipora_capitata_HIv3___RNAseq.g10324.t1",2768630,2403930,2629800,2843770,4186740,4033650,3034820,4050490,3356370,3296620,NA,2860500,2134830,4716530,2726090,3338650,3076110,3222600,4053880,3095940,3557360,3339630,2344130,4674440,2244780,2696470,2172460,3412390,2052360,3499760,2291390,3387140,3013050,3462280,2717590,NA
"Montipora_capitata_HIv3___RNAseq.g10340.t2",50585300,38193500,28860200,32279500,28731200,30896000,28390200,35688200,50344000,27019400,16072900,33864400,27295000,34837600,46924300,29788400,28680100,35524200,31735100,31961300,43797200,37535400,55525600,28119100,31621000,29933200,44279200,31373300,26609600,39008100,28787600,33304000,41828900,32029400,25812400,28450500
"Montipora_capitata_HIv3___RNAseq.g10352.t1",91754700,192890000,167262000,110508000,101817000,125636000,151806000,73678500,27165400,156634000,176169000,82024400,18941400,40716700,132855000,81778100,168703000,45357100,109434000,47832100,36061900,114395000,44746500,48705800,60377100,132140000,79829800,93199700,71586400,67836400,18248600,79792000,32051500,137504000,67431000,114679000
"Montipora_capitata_HIv3___RNAseq.g10377.t1",5329520,2510060,3758710,4205330,3506290,5304110,3275450,4138910,5878040,5218620,2012200,4935430,3093950,5244950,4193740,1838210,2458290,2223810,3919130,3433280,4965220,4882740,3916900,3668430,3037020,4383330,3574880,4180980,3893760,3359750,1760500,4397620,5046270,2235090,4877330,3515200
"Montipora_capitata_HIv3___RNAseq.g10378.t1",NA,2023410,2300400,1815280,1555630,1793870,2291750,1680880,689428,2505090,NA,NA,NA,1994440,2252880,1668170,2456580,NA,2835390,NA,1474850,1702190,NA,1877960,NA,2060460,2461070,1877560,NA,NA,NA,2598260,NA,2537110,NA,NA
"Montipora_capitata_HIv3___RNAseq.g10393.t1",21008100,17163300,22792800,22176900,20664300,21074300,27211900,22717800,17734000,20189000,17158200,24306600,21213900,21720500,23094100,19652000,14495300,23992100,22885900,22336000,20412900,20451900,20686700,26380100,21102300,24653700,17023600,23516100,23839400,20984400,24029500,24229900,20865800,18662700,23526300,24004300
"Montipora_capitata_HIv3___RNAseq.g10394.t1",17520900,9593610,16701800,17601100,18141100,15105800,15064600,21662400,15214200,12177300,11774000,17546900,21310700,20512800,14268700,7674730,6389230,23827000,9127240,21480200,19209500,13276100,18755000,19677600,25066600,19046600,11164900,18501300,19315500,23989600,21301600,19370400,20694400,9530090,19183300,18986500
"Montipora_capitata_HIv3___RNAseq.g10395.t1",NA,NA,NA,24209500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4883530,NA,NA,9712760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g10406.t1",15417300,8207630,12909400,20325600,8398720,15707000,15337200,19782800,13788200,13389300,19360900,25705100,14335200,18603600,13530800,5189780,7264620,13147200,8768820,8621720,11296100,14286700,10151000,24105000,13391800,22736100,14333000,24169900,16232800,17567200,10602300,13591200,13388100,7883130,16713000,19775700
"Montipora_capitata_HIv3___RNAseq.g10410.t1",2764210,1935210,3088950,2610060,865507,2233420,1309470,2986170,1443850,2605180,1307330,2983160,3109730,4944850,2358300,NA,NA,2571440,943940,2090780,1603670,1974320,4152370,3599620,3922850,1783380,1332050,2390740,1881500,1627250,1332860,3424500,2180840,639759,1212560,1942650
"Montipora_capitata_HIv3___RNAseq.g10416.t1b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,810909,NA,NA,NA,NA,NA,221053,NA,NA
"Montipora_capitata_HIv3___RNAseq.g10430.t1;Montipora_capitata_HIv3___RNAseq.g3556.t1",9830520,8794830,21039100,14593300,14273200,5255870,14079200,4828040,2569940,2787750,7633790,11624800,6680210,9764120,11356400,11417200,7447040,4490450,13244400,7852100,10265800,13635000,3301260,17596000,2758840,22486300,17018000,10411800,10182300,3346540,2342910,18203400,7542030,16071800,21897600,3786080
"Montipora_capitata_HIv3___RNAseq.g10474.t1",932442,NA,168152,862228,248807,918260,637344,658298,928936,481739,NA,NA,NA,458498,585230,283309,NA,289734,NA,471569,678758,678519,522822,NA,696252,NA,811381,418390,703204,NA,1054600,660227,NA,529656,422983,759751
"Montipora_capitata_HIv3___RNAseq.g10482.t1",2553620,1225990,1234940,2510630,835943,5062400,1899920,3265520,4724020,3540200,NA,NA,2179800,NA,2613550,1595760,3230260,3833560,1463310,2383780,2027780,2054550,3628180,1503270,4011190,1692470,1378700,NA,NA,6065790,6291460,3218070,2182040,NA,NA,4492440
"Montipora_capitata_HIv3___RNAseq.g1052.t1",NA,NA,NA,NA,743579,NA,NA,NA,NA,708510,NA,NA,NA,NA,NA,NA,447520,NA,NA,NA,NA,NA,NA,NA,NA,NA,840929,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g10709.t1",NA,NA,NA,259108,161150,728868,242021,301631,247070,134423,NA,224576,258938,142963,NA,NA,NA,348150,NA,240609,254966,224479,326510,193434,NA,114458,NA,136603,300541,NA,363334,167617,226073,101657,138817,348094
